Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI CHINA
2016-09-20,9,2,3,0,0,0,40.81818389892578
2016-09-21,9,2,3,0,0,0,41.93010330200195
2016-09-22,9,2,3,0,0,0,42.346004486083984
2016-09-23,9,2,3,0,0,0,41.65849304199219
2016-09-26,9,2,3,0,0,0,40.81818389892578
2016-09-27,9,2,3,0,0,0,41.35292434692383
2016-09-28,9,2,3,0,0,0,41.63302993774414
2016-09-29,9,2,3,0,0,0,41.08980178833008
2016-09-30,9,2,3,0,0,0,41.16618728637695
2016-10-03,10,2,4,0,0,0,41.259552001953125
2016-10-04,10,2,4,0,0,0,41.115264892578125
2016-10-05,10,2,4,0,0,0,41.98102569580078
2016-10-06,10,2,4,0,0,0,41.964054107666016
2016-10-07,10,2,4,0,0,0,41.57360458374024
2016-10-10,10,2,4,0,0,0,42.23566436767578
2016-10-11,10,2,4,0,0,0,41.04735565185547
2016-10-12,10,2,4,0,0,0,41.0643310546875
2016-10-13,10,2,4,0,0,0,40.42774200439453
2016-10-14,10,2,4,0,0,0,40.605987548828125
2016-10-17,10,2,4,0,0,0,40.37681579589844
2016-10-18,10,2,4,0,0,0,40.96247863769531
2016-10-19,10,2,4,0,0,0,41.08980178833008
2016-10-20,10,2,4,0,0,0,40.95399475097656
2016-10-21,10,2,4,0,0,0,41.05583953857422
2016-10-24,10,2,4,0,0,0,41.24257659912109
2016-10-25,10,2,4,0,0,0,41.08131790161133
2016-10-26,10,2,4,0,0,0,40.69086837768555
2016-10-27,10,2,4,0,0,0,40.33437347412109
2016-10-28,10,2,4,0,0,0,39.97789001464844
2016-10-31,10,2,4,0,0,0,39.952423095703125
2016-11-01,11,2,4,0,0,0,39.952423095703125
2016-11-02,11,2,4,0,0,0,39.29885482788086
2016-11-03,11,2,4,0,0,0,39.24793243408203
2016-11-04,11,2,4,0,0,0,38.916900634765625
2016-11-07,11,2,4,0,0,0,40.147647857666016
2016-11-08,11,2,4,0,0,0,40.38530349731445
2016-11-09,11,2,4,0,0,0,39.3922119140625
2016-11-10,11,2,4,0,0,0,38.83202362060547
2016-11-11,11,2,4,0,0,0,38.433101654052734
2016-11-14,11,2,4,0,0,0,37.86440658569336
2016-11-15,11,2,4,0,0,0,38.61982345581055
2016-11-16,11,2,4,0,0,0,38.22938919067383
2016-11-17,11,2,4,0,0,0,38.50948715209961
2016-11-18,11,2,4,0,0,0,38.47553634643555
2016-11-21,11,2,4,0,0,0,38.73866653442383
2016-11-22,11,2,4,0,0,0,39.13759231567383
2016-11-23,11,2,4,0,0,0,38.92538833618164
2016-11-25,11,2,4,0,0,0,39.239444732666016
2016-11-28,11,2,4,0,0,0,39.3752555847168
2016-11-29,11,2,4,0,0,0,39.61290740966797
2016-11-30,11,2,4,0,0,0,39.57046508789063
2016-12-01,12,2,4,0,0,0,39.23095703125
2016-12-02,12,2,4,0,0,0,38.95085906982422
2016-12-05,12,2,4,0,0,0,39.00178527832031
2016-12-06,12,2,4,0,0,0,38.97632598876953
2016-12-07,12,2,4,0,0,0,39.485595703125
2016-12-08,12,2,4,0,0,0,39.47711181640625
2016-12-09,12,2,4,0,0,0,39.222469329833984
2016-12-12,12,2,4,0,0,0,38.42460632324219
2016-12-13,12,2,4,0,0,0,38.874473571777344
2016-12-14,12,2,4,0,0,0,38.12753677368164
2016-12-15,12,2,4,0,0,0,37.69464492797852
2016-12-16,12,2,4,0,0,0,37.35513305664063
2016-12-19,12,2,4,0,0,0,37.25327301025391
2016-12-20,12,2,4,0,0,0,37.27025604248047
2016-12-21,12,2,4,0,0,0,37.159706115722656
2016-12-22,12,2,4,0,0,0,36.75690460205078
2016-12-23,12,2,4,0,0,0,36.679779052734375
2016-12-27,12,2,4,0,0,0,36.825469970703125
2016-12-28,12,2,4,0,0,0,37.09971618652344
2016-12-29,12,2,4,0,0,0,37.57106018066406
2016-12-30,12,2,4,0,0,0,37.47679138183594
2017-01-03,1,1,1,0,0,0,37.87101745605469
2017-01-04,1,1,1,0,0,0,38.368072509765625
2017-01-05,1,1,1,0,0,0,39.08795928955078
2017-01-06,1,1,1,0,0,0,38.856563568115234
2017-01-09,1,1,1,0,0,0,39.00225830078125
2017-01-10,1,1,1,0,0,0,39.593597412109375
2017-01-11,1,1,1,0,0,0,39.73929214477539
2017-01-12,1,1,1,0,0,0,39.56789016723633
2017-01-13,1,1,1,0,0,0,39.6878662109375
2017-01-17,1,1,1,0,0,0,39.6107292175293
2017-01-18,1,1,1,0,0,0,39.773563385009766
2017-01-19,1,1,1,0,0,0,39.58502197265625
2017-01-20,1,1,1,0,1,0,39.53360366821289
2017-01-23,1,1,1,0,1,0,39.85068893432617
2017-01-24,1,1,1,0,1,0,40.25348663330078
2017-01-25,1,1,1,0,1,0,40.51914596557617
2017-01-26,1,1,1,0,1,0,40.51914596557617
2017-01-27,1,1,1,0,1,0,40.39917755126953
2017-01-30,1,1,1,0,1,0,40.23634338378906
2017-01-31,1,1,1,0,1,0,40.28776550292969
2017-02-01,2,1,1,0,1,0,40.29633712768555
2017-02-02,2,1,1,0,1,0,40.36489486694336
2017-02-03,2,1,1,0,1,0,40.373477935791016
2017-02-06,2,1,1,0,1,0,40.52772903442383
2017-02-07,2,1,1,0,1,0,40.510589599609375
2017-02-08,2,1,1,0,1,0,41.10191345214844
2017-02-09,2,1,1,0,1,0,41.45328903198242
2017-02-10,2,1,1,0,1,0,41.59041213989258
2017-02-13,2,1,1,0,1,0,41.79609298706055
2017-02-14,2,1,1,0,1,0,41.70182418823242
2017-02-15,2,1,1,0,1,0,42.19031524658203
2017-02-16,2,1,1,0,1,0,42.19888687133789
2017-02-17,2,1,1,0,1,0,42.00177383422852
2017-02-21,2,1,1,0,1,0,42.34457778930664
2017-02-22,2,1,1,0,1,0,42.70452117919922
2017-02-23,2,1,1,0,1,0,42.57597351074219
2017-02-24,2,1,1,0,1,0,42.061771392822266
2017-02-27,2,1,1,0,1,0,41.95035171508789
2017-02-28,2,1,1,0,1,0,41.74467468261719
2017-03-01,3,1,1,0,1,0,42.22459030151367
2017-03-02,3,1,1,0,1,0,41.50470733642578
2017-03-03,3,1,1,0,1,0,41.69326019287109
2017-03-06,3,1,1,0,1,0,41.6504020690918
2017-03-07,3,1,1,0,1,0,41.78752136230469
2017-03-08,3,1,1,0,1,0,41.83037185668945
2017-03-09,3,1,1,0,1,0,41.427581787109375
2017-03-10,3,1,1,0,1,0,41.6504020690918
2017-03-13,3,1,1,0,1,0,42.32743453979492
2017-03-14,3,1,1,0,1,0,42.08747482299805
2017-03-15,3,1,1,0,1,0,42.71308517456055
2017-03-16,3,1,1,0,1,0,43.210147857666016
2017-03-17,3,1,1,0,1,0,43.10730743408203
2017-03-20,3,1,1,0,1,0,43.70721054077149
2017-03-21,3,1,1,0,1,0,43.06446075439453
2017-03-22,3,1,1,0,1,0,43.21872329711914
2017-03-23,3,1,1,0,1,0,43.31299209594727
2017-03-24,3,1,1,0,1,0,43.34727478027344
2017-03-27,3,1,1,0,1,0,43.18444442749024
2017-03-28,3,1,1,0,1,0,43.33870697021485
2017-03-29,3,1,1,0,1,0,43.33013534545898
2017-03-30,3,1,1,0,1,0,43.09016799926758
2017-03-31,3,1,1,0,1,0,42.79021835327149
2017-04-03,4,1,2,0,1,0,43.15016555786133
2017-04-04,4,1,2,0,1,0,43.16729736328125
2017-04-05,4,1,2,0,1,0,43.19300842285156
2017-04-06,4,1,2,0,1,0,43.18444442749024
2017-04-07,4,1,2,0,1,0,43.18444442749024
2017-04-10,4,1,2,0,1,0,43.10730743408203
2017-04-11,4,1,2,0,1,0,42.85021209716797
2017-04-12,4,1,2,0,1,0,43.01303863525391
2017-04-13,4,1,2,0,1,0,42.82450485229492
2017-04-17,4,1,2,0,1,0,43.15016555786133
2017-04-18,4,1,2,0,1,0,42.55883026123047
2017-04-19,4,1,2,0,1,0,42.50740051269531
2017-04-20,4,1,2,0,1,0,43.17586517333984
2017-04-21,4,1,2,0,1,0,43.1415901184082
2017-04-24,4,1,2,0,1,0,43.46725463867188
2017-04-25,4,1,2,0,1,0,43.97288513183594
2017-04-26,4,1,2,0,1,0,43.895751953125
2017-04-27,4,1,2,0,1,0,43.818634033203125
2017-04-28,4,1,2,0,1,0,43.844337463378906
2017-05-01,5,1,2,0,1,0,44.01573181152344
2017-05-02,5,1,2,0,1,0,43.99860000610352
2017-05-03,5,1,2,0,1,0,43.818634033203125
2017-05-04,5,1,2,0,1,0,43.235870361328125
2017-05-05,5,1,2,0,1,0,43.38154602050781
2017-05-08,5,1,2,0,1,0,43.44154739379883
2017-05-09,5,1,2,0,1,0,44.2299919128418
2017-05-10,5,1,2,0,1,0,44.63278198242188
2017-05-11,5,1,2,0,1,0,44.54707336425781
2017-05-12,5,1,2,0,1,0,44.91559600830078
2017-05-15,5,1,2,0,1,0,45.352657318115234
2017-05-16,5,1,2,0,1,0,45.5669059753418
2017-05-17,5,1,2,0,1,0,44.88130569458008
2017-05-18,5,1,2,0,1,0,44.97557830810547
2017-05-19,5,1,2,0,1,0,45.62689971923828
2017-05-22,5,1,2,0,1,0,46.14967346191406
2017-05-23,5,1,2,0,1,0,45.85829162597656
2017-05-24,5,1,2,0,1,0,45.88400268554688
2017-05-25,5,1,2,0,1,0,46.42391586303711
2017-05-26,5,1,2,0,1,0,46.44105529785156
2017-05-30,5,1,2,0,1,0,46.46676254272461
2017-05-31,5,1,2,0,1,0,46.08111572265625
2017-06-01,6,1,2,0,1,0,46.6467399597168
2017-06-02,6,1,2,0,1,0,46.68102645874024
2017-06-05,6,1,2,0,1,0,46.60389709472656
2017-06-06,6,1,2,0,1,0,46.81813430786133
2017-06-07,6,1,2,0,1,0,46.963829040527344
2017-06-08,6,1,2,0,1,0,47.82083511352539
2017-06-09,6,1,2,0,1,0,47.17807769775391
2017-06-12,6,1,2,0,1,0,46.78385925292969
2017-06-13,6,1,2,0,1,0,46.81813430786133
2017-06-14,6,1,2,0,1,0,46.61245346069336
2017-06-15,6,1,2,0,1,0,46.13253402709961
2017-06-16,6,1,2,0,1,0,46.19253158569336
2017-06-19,6,1,2,0,1,0,47.08381271362305
2017-06-20,6,1,2,0,1,0,46.70712661743164
2017-06-21,6,1,2,0,1,0,46.99952697753906
2017-06-22,6,1,2,0,1,0,47.240333557128906
2017-06-23,6,1,2,0,1,0,47.32633209228516
2017-06-26,6,1,2,0,1,0,47.70473861694336
2017-06-27,6,1,2,0,1,0,47.23173522949219
2017-06-28,6,1,2,0,1,0,47.58434677124024
2017-06-29,6,1,2,0,1,0,46.9393310546875
2017-06-30,6,1,2,0,1,0,47.03393173217773
2017-07-03,7,2,3,0,1,0,47.32633209228516
2017-07-05,7,2,3,0,1,0,47.25753784179688
