Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI INDIA
2016-11-15,11,2,4,0,0,0,23.919713973999023
2016-11-16,11,2,4,0,0,0,23.56110000610352
2016-11-17,11,2,4,0,0,0,23.63282012939453
2016-11-18,11,2,4,0,0,0,23.40869140625
2016-11-21,11,2,4,0,0,0,23.166622161865234
2016-11-22,11,2,4,0,0,0,23.363859176635746
2016-11-23,11,2,4,0,0,0,23.184551239013672
2016-11-25,11,2,4,0,0,0,23.713510513305664
2016-11-28,11,2,4,0,0,0,23.830062866210938
2016-11-29,11,2,4,0,0,0,23.90178108215332
2016-11-30,11,2,4,0,0,0,24.14385414123535
2016-12-01,12,2,4,0,0,0,24.036266326904297
2016-12-02,12,2,4,0,0,0,23.794198989868164
2016-12-05,12,2,4,0,0,0,24.00040054321289
2016-12-06,12,2,4,0,0,0,24.197641372680664
2016-12-07,12,2,4,0,0,0,24.430742263793945
2016-12-08,12,2,4,0,0,0,24.699705123901367
2016-12-09,12,2,4,0,0,0,24.61005210876465
2016-12-12,12,2,4,0,0,0,24.350053787231445
2016-12-13,12,2,4,0,0,0,24.52936363220215
2016-12-14,12,2,4,0,0,0,23.991436004638672
2016-12-15,12,2,4,0,0,0,24.11695671081543
2016-12-16,12,2,4,0,0,0,24.054197311401367
2016-12-19,12,2,4,0,0,0,23.93764305114746
2016-12-20,12,2,4,0,0,0,23.892822265625
2016-12-21,12,2,4,0,0,0,23.761558532714844
2016-12-22,12,2,4,0,0,0,23.43790626525879
2016-12-23,12,2,4,0,0,0,23.4738712310791
2016-12-27,12,2,4,0,0,0,23.65367126464844
2016-12-28,12,2,4,0,0,0,23.5727596282959
2016-12-29,12,2,4,0,0,0,23.97732734680176
2016-12-30,12,2,4,0,0,0,24.10319328308105
2017-01-03,1,1,1,0,0,0,24.211082458496094
2017-01-04,1,1,1,0,0,0,24.345935821533203
2017-01-05,1,1,1,0,0,0,24.678577423095703
2017-01-06,1,1,1,0,0,0,24.37290573120117
2017-01-09,1,1,1,0,0,0,24.28300094604492
2017-01-10,1,1,1,0,0,0,24.444826126098636
2017-01-11,1,1,1,0,0,0,24.81343460083008
2017-01-12,1,1,1,0,0,0,24.86737632751465
2017-01-13,1,1,1,0,0,0,24.86737632751465
2017-01-17,1,1,1,0,0,0,24.74150848388672
2017-01-18,1,1,1,0,0,0,24.76848030090332
2017-01-19,1,1,1,0,0,0,24.78646469116211
2017-01-20,1,1,1,0,1,0,24.552711486816406
2017-01-23,1,1,1,0,1,0,24.849395751953125
2017-01-24,1,1,1,0,1,0,25.10112762451172
2017-01-25,1,1,1,0,1,0,25.532663345336918
2017-01-26,1,1,1,0,1,0,25.37083625793457
2017-01-27,1,1,1,0,1,0,25.424781799316406
2017-01-30,1,1,1,0,1,0,25.52367210388184
2017-01-31,1,1,1,0,1,0,25.496702194213867
2017-02-01,2,1,1,0,1,0,25.757423400878903
2017-02-02,2,1,1,0,1,0,25.928241729736328
2017-02-03,2,1,1,0,1,0,26.11703872680664
2017-02-06,2,1,1,0,1,0,26.14400863647461
2017-02-07,2,1,1,0,1,0,26.009151458740234
2017-02-08,2,1,1,0,1,0,26.260883331298828
2017-02-09,2,1,1,0,1,0,26.413719177246094
2017-02-10,2,1,1,0,1,0,26.494630813598636
2017-02-13,2,1,1,0,1,0,26.413719177246094
2017-02-14,2,1,1,0,1,0,26.35078811645508
2017-02-15,2,1,1,0,1,0,26.09905815124512
2017-02-16,2,1,1,0,1,0,26.21592903137207
2017-02-17,2,1,1,0,1,0,26.242904663085938
2017-02-21,2,1,1,0,1,0,26.665451049804688
2017-02-22,2,1,1,0,1,0,26.629487991333008
2017-02-23,2,1,1,0,1,0,26.854248046875
2017-02-24,2,1,1,0,1,0,26.629487991333008
2017-02-27,2,1,1,0,1,0,26.6744441986084
2017-02-28,2,1,1,0,1,0,26.6744441986084
2017-03-01,3,1,1,0,1,0,27.087995529174805
2017-03-02,3,1,1,0,1,0,26.57554626464844
2017-03-03,3,1,1,0,1,0,26.845260620117188
2017-03-06,3,1,1,0,1,0,26.91718101501465
2017-03-07,3,1,1,0,1,0,26.881216049194336
2017-03-08,3,1,1,0,1,0,26.6744441986084
2017-03-09,3,1,1,0,1,0,26.854248046875
2017-03-10,3,1,1,0,1,0,27.01607322692871
2017-03-13,3,1,1,0,1,0,27.753286361694336
2017-03-14,3,1,1,0,1,0,27.66338539123535
2017-03-15,3,1,1,0,1,0,28.166841506958008
2017-03-16,3,1,1,0,1,0,28.11290168762207
2017-03-17,3,1,1,0,1,0,27.978046417236328
2017-03-20,3,1,1,0,1,0,28.13987159729004
2017-03-21,3,1,1,0,1,0,27.672372817993164
2017-03-22,3,1,1,0,1,0,27.744295120239254
2017-03-23,3,1,1,0,1,0,27.89713287353516
2017-03-24,3,1,1,0,1,0,27.852174758911133
2017-03-27,3,1,1,0,1,0,27.978046417236328
2017-03-28,3,1,1,0,1,0,28.15785217285156
2017-03-29,3,1,1,0,1,0,28.40958023071289
2017-03-30,3,1,1,0,1,0,28.37362098693848
2017-03-31,3,1,1,0,1,0,28.31068992614746
2017-04-03,4,1,2,0,1,0,28.60736656188965
2017-04-04,4,1,2,0,1,0,28.517465591430664
2017-04-05,4,1,2,0,1,0,28.43655204772949
2017-04-06,4,1,2,0,1,0,28.769195556640625
2017-04-07,4,1,2,0,1,0,28.733232498168945
2017-04-10,4,1,2,0,1,0,28.553430557250977
2017-04-11,4,1,2,0,1,0,28.59837913513184
2017-04-12,4,1,2,0,1,0,28.445541381835938
2017-04-13,4,1,2,0,1,0,28.27472496032715
2017-04-17,4,1,2,0,1,0,28.481502532958984
2017-04-18,4,1,2,0,1,0,28.022994995117188
2017-04-19,4,1,2,0,1,0,28.01400375366211
2017-04-20,4,1,2,0,1,0,28.301700592041016
2017-04-21,4,1,2,0,1,0,27.987035751342773
2017-04-24,4,1,2,0,1,0,28.544437408447266
2017-04-25,4,1,2,0,1,0,28.91304397583008
2017-04-26,4,1,2,0,1,0,29.011934280395508
2017-04-27,4,1,2,0,1,0,28.8501091003418
2017-04-28,4,1,2,0,1,0,28.841127395629883
2017-05-01,5,1,2,0,1,0,28.87708282470703
2017-05-02,5,1,2,0,1,0,29.074871063232425
2017-05-03,5,1,2,0,1,0,28.8501091003418
2017-05-04,5,1,2,0,1,0,28.805160522460938
2017-05-05,5,1,2,0,1,0,28.814149856567383
2017-05-08,5,1,2,0,1,0,28.643333435058597
2017-05-09,5,1,2,0,1,0,28.751218795776367
2017-05-10,5,1,2,0,1,0,29.15578269958496
2017-05-11,5,1,2,0,1,0,29.22770500183105
2017-05-12,5,1,2,0,1,0,29.254682540893555
2017-05-15,5,1,2,0,1,0,29.47943878173828
2017-05-16,5,1,2,0,1,0,29.58732414245605
2017-05-17,5,1,2,0,1,0,29.128814697265625
2017-05-18,5,1,2,0,1,0,28.78717994689941
2017-05-19,5,1,2,0,1,0,29.002944946289062
2017-05-22,5,1,2,0,1,0,28.8501091003418
2017-05-23,5,1,2,0,1,0,28.42756462097168
2017-05-24,5,1,2,0,1,0,28.526456832885746
2017-05-25,5,1,2,0,1,0,28.823143005371094
2017-05-26,5,1,2,0,1,0,29.074871063232425
2017-05-30,5,1,2,0,1,0,29.272661209106445
2017-05-31,5,1,2,0,1,0,29.26366806030273
2017-06-01,6,1,2,0,1,0,29.54237365722656
2017-06-02,6,1,2,0,1,0,29.623279571533203
