Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI SOUTH AFRICA
2016-07-26,7,2,3,0,0,0,37.55606842041016
2016-07-27,7,2,3,0,0,0,38.034141540527344
2016-07-28,7,2,3,0,0,0,37.99430084228516
2016-07-29,7,2,3,0,0,0,38.3595085144043
2016-08-01,8,2,3,0,0,0,38.08062744140625
2016-08-02,8,2,3,0,0,0,37.4697494506836
2016-08-03,8,2,3,0,0,0,37.92789840698242
2016-08-04,8,2,3,0,0,0,38.392704010009766
2016-08-05,8,2,3,0,0,0,38.3595085144043
2016-08-08,8,2,3,0,0,0,38.79109954833984
2016-08-09,8,2,3,0,0,0,39.29575347900391
2016-08-10,8,2,3,0,0,0,39.534793853759766
2016-08-11,8,2,3,0,0,0,39.74728012084961
2016-08-12,8,2,3,0,0,0,39.59456253051758
2016-08-15,8,2,3,0,0,0,39.82695388793945
2016-08-16,8,2,3,0,0,0,39.24927520751953
2016-08-17,8,2,3,0,0,0,39.37543487548828
2016-08-18,8,2,3,0,0,0,40.05271530151367
2016-08-19,8,2,3,0,0,0,39.58127975463867
2016-08-22,8,2,3,0,0,0,39.08327102661133
2016-08-23,8,2,3,0,0,0,37.60918426513672
2016-08-24,8,2,3,0,0,0,37.775184631347656
2016-08-25,8,2,3,0,0,0,37.283817291259766
2016-08-26,8,2,3,0,0,0,36.53349685668945
2016-08-29,8,2,3,0,0,0,36.832305908203125
2016-08-30,8,2,3,0,0,0,36.340938568115234
2016-08-31,8,2,3,0,0,0,34.880130767822266
2016-09-01,9,2,3,0,0,0,35.371490478515625
2016-09-02,9,2,3,0,0,0,36.49365234375
2016-09-06,9,2,3,0,0,0,38.14702224731445
2016-09-07,9,2,3,0,0,0,37.74198913574219
2016-09-08,9,2,3,0,0,0,37.30373764038086
2016-09-09,9,2,3,0,0,0,35.80309295654297
2016-09-12,9,2,3,0,0,0,36.6131706237793
2016-09-13,9,2,3,0,0,0,35.557411193847656
2016-09-14,9,2,3,0,0,0,35.98236846923828
2016-09-15,9,2,3,0,0,0,36.560054779052734
2016-09-16,9,2,3,0,0,0,36.15501403808594
2016-09-19,9,2,3,0,0,0,36.68621063232422
2016-09-20,9,2,3,0,0,0,36.26125717163086
2016-09-21,9,2,3,0,0,0,37.60918426513672
2016-09-22,9,2,3,0,0,0,37.72206878662109
2016-09-23,9,2,3,0,0,0,37.39670181274414
2016-09-26,9,2,3,0,0,0,36.832305908203125
2016-09-27,9,2,3,0,0,0,37.57598114013672
2016-09-28,9,2,3,0,0,0,37.97438049316406
2016-09-29,9,2,3,0,0,0,36.6928596496582
2016-09-30,9,2,3,0,0,0,37.2307014465332
2016-10-03,10,2,4,0,0,0,37.3170280456543
2016-10-04,10,2,4,0,0,0,36.42062377929688
2016-10-05,10,2,4,0,0,0,37.1310920715332
2016-10-06,10,2,4,0,0,0,36.433895111083984
2016-10-07,10,2,4,0,0,0,36.23469161987305
2016-10-10,10,2,4,0,0,0,36.54677581787109
2016-10-11,10,2,4,0,0,0,34.88677215576172
2016-10-12,10,2,4,0,0,0,35.085968017578125
2016-10-13,10,2,4,0,0,0,34.156368255615234
2016-10-14,10,2,4,0,0,0,34.32901382446289
2016-10-17,10,2,4,0,0,0,34.62117385864258
2016-10-18,10,2,4,0,0,0,35.76325607299805
2016-10-19,10,2,4,0,0,0,36.26789093017578
2016-10-20,10,2,4,0,0,0,35.975738525390625
2016-10-21,10,2,4,0,0,0,35.98236846923828
2016-10-24,10,2,4,0,0,0,36.254615783691406
2016-10-25,10,2,4,0,0,0,36.639739990234375
2016-10-26,10,2,4,0,0,0,36.01557159423828
2016-10-27,10,2,4,0,0,0,35.75661087036133
2016-10-28,10,2,4,0,0,0,35.344932556152344
2016-10-31,10,2,4,0,0,0,36.71942138671875
2016-11-01,11,2,4,0,0,0,36.254615783691406
2016-11-02,11,2,4,0,0,0,36.32765197753906
2016-11-03,11,2,4,0,0,0,36.28118133544922
2016-11-04,11,2,4,0,0,0,34.913326263427734
2016-11-07,11,2,4,0,0,0,37.04478073120117
2016-11-08,11,2,4,0,0,0,37.86149597167969
2016-11-09,11,2,4,0,0,0,36.09525680541992
2016-11-10,11,2,4,0,0,0,34.04348373413086
2016-11-11,11,2,4,0,0,0,32.708831787109375
2016-11-14,11,2,4,0,0,0,32.17099380493164
2016-11-15,11,2,4,0,0,0,33.42595291137695
2016-11-16,11,2,4,0,0,0,33.25995635986328
2016-11-17,11,2,4,0,0,0,33.41268539428711
2016-11-18,11,2,4,0,0,0,33.27323913574219
2016-11-21,11,2,4,0,0,0,33.84428024291992
2016-11-22,11,2,4,0,0,0,35.02621078491211
2016-11-23,11,2,4,0,0,0,33.738040924072266
2016-11-25,11,2,4,0,0,0,33.98371887207031
2016-11-28,11,2,4,0,0,0,34.827003479003906
2016-11-29,11,2,4,0,0,0,34.627811431884766
2016-11-30,11,2,4,0,0,0,33.75796127319336
2016-12-01,12,2,4,0,0,0,33.21347427368164
2016-12-02,12,2,4,0,0,0,33.359554290771484
2016-12-05,12,2,4,0,0,0,34.10988235473633
2016-12-06,12,2,4,0,0,0,33.990360260009766
2016-12-07,12,2,4,0,0,0,35.09260177612305
2016-12-08,12,2,4,0,0,0,35.25860977172852
2016-12-09,12,2,4,0,0,0,35.059410095214844
2016-12-12,12,2,4,0,0,0,35.15237045288086
2016-12-13,12,2,4,0,0,0,35.856204986572266
2016-12-14,12,2,4,0,0,0,34.03019714355469
2016-12-15,12,2,4,0,0,0,33.85756301879883
2016-12-16,12,2,4,0,0,0,33.69156265258789
2016-12-19,12,2,4,0,0,0,33.518917083740234
2016-12-20,12,2,4,0,0,0,34.34891891479492
2016-12-21,12,2,4,0,0,0,34.04690933227539
2016-12-22,12,2,4,0,0,0,33.42946243286133
2016-12-23,12,2,4,0,0,0,33.65094375610352
2016-12-27,12,2,4,0,0,0,33.959659576416016
2016-12-28,12,2,4,0,0,0,34.73147201538086
2016-12-29,12,2,4,0,0,0,36.0938835144043
2016-12-30,12,2,4,0,0,0,35.140869140625
2017-01-03,1,1,1,0,0,0,35.4764404296875
2017-01-04,1,1,1,0,0,0,35.90597152709961
2017-01-05,1,1,1,0,0,0,35.75831604003906
2017-01-06,1,1,1,0,0,0,36.154296875
2017-01-09,1,1,1,0,0,0,36.08717346191406
2017-01-10,1,1,1,0,0,0,36.08045959472656
2017-01-11,1,1,1,0,0,0,36.543548583984375
2017-01-12,1,1,1,0,0,0,36.87240982055664
2017-01-13,1,1,1,0,0,0,37.24153518676758
2017-01-17,1,1,1,0,0,0,37.20126724243164
2017-01-18,1,1,1,0,0,0,36.81871795654297
2017-01-19,1,1,1,0,0,0,36.57710647583008
2017-01-20,1,1,1,0,1,0,36.53683853149414
2017-01-23,1,1,1,0,1,0,37.28179931640625
2017-01-24,1,1,1,0,1,0,37.85226821899414
2017-01-25,1,1,1,0,1,0,38.08717346191406
2017-01-26,1,1,1,0,1,0,37.724754333496094
2017-01-27,1,1,1,0,1,0,36.97978591918945
2017-01-30,1,1,1,0,1,0,36.463016510009766
2017-01-31,1,1,1,0,1,0,36.81871795654297
2017-02-01,2,1,1,0,1,0,36.77173614501953
2017-02-02,2,1,1,0,1,0,36.87240982055664
2017-02-03,2,1,1,0,1,0,37.25496292114258
2017-02-06,2,1,1,0,1,0,36.879127502441406
2017-02-07,2,1,1,0,1,0,36.30193710327149
2017-02-08,2,1,1,0,1,0,36.32879257202149
2017-02-09,2,1,1,0,1,0,36.65763854980469
2017-02-10,2,1,1,0,1,0,37.456302642822266
2017-02-13,2,1,1,0,1,0,37.50999069213867
2017-02-14,2,1,1,0,1,0,37.90596771240234
2017-02-15,2,1,1,0,1,0,38.55696868896485
2017-02-16,2,1,1,0,1,0,38.07374954223633
2017-02-17,2,1,1,0,1,0,37.83885192871094
2017-02-21,2,1,1,0,1,0,37.96636581420898
2017-02-22,2,1,1,0,1,0,38.16770935058594
2017-02-23,2,1,1,0,1,0,38.59723281860352
2017-02-24,2,1,1,0,1,0,38.114017486572266
2017-02-27,2,1,1,0,1,0,37.68449020385742
2017-02-28,2,1,1,0,1,0,36.90596771240234
2017-03-01,3,1,1,0,1,0,37.691200256347656
2017-03-02,3,1,1,0,1,0,37.127437591552734
2017-03-03,3,1,1,0,1,0,37.83213806152344
2017-03-06,3,1,1,0,1,0,37.83213806152344
2017-03-07,3,1,1,0,1,0,37.93281555175781
2017-03-08,3,1,1,0,1,0,37.060333251953125
2017-03-09,3,1,1,0,1,0,36.38248443603516
2017-03-10,3,1,1,0,1,0,37.47643661499024
2017-03-13,3,1,1,0,1,0,38.08046340942383
2017-03-14,3,1,1,0,1,0,37.711334228515625
2017-03-15,3,1,1,0,1,0,39.30193328857422
2017-03-16,3,1,1,0,1,0,39.7918701171875
2017-03-17,3,1,1,0,1,0,39.765018463134766
2017-03-20,3,1,1,0,1,0,40.516700744628906
2017-03-21,3,1,1,0,1,0,40.08716583251953
2017-03-22,3,1,1,0,1,0,40.33549118041992
2017-03-23,3,1,1,0,1,0,40.530120849609375
2017-03-24,3,1,1,0,1,0,40.516700744628906
2017-03-27,3,1,1,0,1,0,39.40931701660156
2017-03-28,3,1,1,0,1,0,39.0871696472168
2017-03-29,3,1,1,0,1,0,38.979793548583984
2017-03-30,3,1,1,0,1,0,38.26837921142578
2017-03-31,3,1,1,0,1,0,37.04019927978516
2017-04-03,4,1,2,0,1,0,36.744895935058594
2017-04-04,4,1,2,0,1,0,37.207984924316406
2017-04-05,4,1,2,0,1,0,36.34220886230469
2017-04-06,4,1,2,0,1,0,36.402618408203125
