Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI BRAZIL
2016-09-14,9,2,3,0,0,0,19.9647274017334
2016-09-15,9,2,3,0,0,0,20.5579891204834
2016-09-16,9,2,3,0,0,0,20.40186309814453
2016-09-19,9,2,3,0,0,0,20.470558166503903
2016-09-20,9,2,3,0,0,0,20.66414833068848
2016-09-21,9,2,3,0,0,0,21.251163482666016
2016-09-22,9,2,3,0,0,0,21.407285690307617
2016-09-23,9,2,3,0,0,0,21.1512451171875
2016-09-26,9,2,3,0,0,0,20.863985061645508
2016-09-27,9,2,3,0,0,0,21.18871307373047
2016-09-28,9,2,3,0,0,0,21.563404083251957
2016-09-29,9,2,3,0,0,0,20.97014617919922
2016-09-30,9,2,3,0,0,0,21.063817977905277
2016-10-03,10,2,4,0,0,0,21.64458465576172
2016-10-04,10,2,4,0,0,0,21.257408142089844
2016-10-05,10,2,4,0,0,0,21.80695533752441
2016-10-06,10,2,4,0,0,0,21.944334030151367
2016-10-07,10,2,4,0,0,0,22.144174575805664
2016-10-10,10,2,4,0,0,0,22.40021133422852
2016-10-11,10,2,4,0,0,0,22.219112396240234
2016-10-12,10,2,4,0,0,0,22.13792991638184
2016-10-13,10,2,4,0,0,0,22.37523460388184
2016-10-14,10,2,4,0,0,0,22.512615203857425
2016-10-17,10,2,4,0,0,0,22.77490234375
2016-10-18,10,2,4,0,0,0,23.33069610595703
2016-10-19,10,2,4,0,0,0,23.27448463439941
2016-10-20,10,2,4,0,0,0,23.592973709106445
2016-10-21,10,2,4,0,0,0,23.58672523498535
2016-10-24,10,2,4,0,0,0,23.78032112121582
2016-10-25,10,2,4,0,0,0,23.84901237487793
2016-10-26,10,2,4,0,0,0,23.63044166564941
2016-10-27,10,2,4,0,0,0,23.58672523498535
2016-10-28,10,2,4,0,0,0,23.349424362182617
2016-10-31,10,2,4,0,0,0,23.58048820495605
2016-11-01,11,2,4,0,0,0,22.77490234375
2016-11-02,11,2,4,0,0,0,22.37523460388184
2016-11-03,11,2,4,0,0,0,22.17539596557617
2016-11-04,11,2,4,0,0,0,22.08172607421875
2016-11-07,11,2,4,0,0,0,23.27448463439941
2016-11-08,11,2,4,0,0,0,23.443098068237305
2016-11-09,11,2,4,0,0,0,22.67498588562012
2016-11-10,11,2,4,0,0,0,20.888959884643555
2016-11-11,11,2,4,0,0,0,20.295703887939453
2016-11-14,11,2,4,0,0,0,20.220766067504883
2016-11-15,11,2,4,0,0,0,20.901451110839844
2016-11-16,11,2,4,0,0,0,20.65165901184082
2016-11-17,11,2,4,0,0,0,20.220766067504883
2016-11-18,11,2,4,0,0,0,20.35190773010254
2016-11-21,11,2,4,0,0,0,21.07630920410156
2016-11-22,11,2,4,0,0,0,21.33859062194824
2016-11-23,11,2,4,0,0,0,21.1137752532959
2016-11-25,11,2,4,0,0,0,20.645410537719727
2016-11-28,11,2,4,0,0,0,21.17622184753418
2016-11-29,11,2,4,0,0,0,20.732839584350582
2016-11-30,11,2,4,0,0,0,20.9139404296875
2016-12-01,12,2,4,0,0,0,19.65873146057129
2016-12-02,12,2,4,0,0,0,19.78362846374512
2016-12-05,12,2,4,0,0,0,20.05840110778809
2016-12-06,12,2,4,0,0,0,20.408109664916992
2016-12-07,12,2,4,0,0,0,20.78279685974121
2016-12-08,12,2,4,0,0,0,20.61418342590332
