Date,MSCI BRAZIL,MSCI USA,MSCI CHINA,MSCI INDIA,MSCI JAPAN,MSCI UK,MSCI CANADA,MSCI SOUTH AFRICA,MSCI RUSSIA,MSCI GERMANY,MSCI MEXICO,MSCI AUSTRALIA,MSCI FRANCE,MSCI SOUTH KOREA,MSCI SWITZERLAND,MSCI EM LATIN AMERICA,MSCI EM ASIA,MSCI EM EUROPE,MSCI WORLD,MSCI EUROPE
,EWZ,SPY,MCHI,INDA,EWJ,EWU,EWC,EZA,ERUS,EWG,EWW,EWA,EWQ,EWY,EWL,ILF,AAXJ,ESR,URTH,IEV
4-Sep-18,20.279558181762695,259.4346008300781,52.49736785888672,31.578304290771484,50.76753616333008,25.463603973388672,24.26786231994629,35.34104537963867,16.638744354248047,25.137775421142578,40.502925872802734,16.637493133544922,25.24876594543457,58.894100189208984,30.109025955200195,19.343040466308594,61.931095123291016,,80.36112976074219,36.733131408691406
5-Sep-18,20.423662185668945,258.7362976074219,51.105953216552734,31.550987243652344,50.22895050048828,25.387229919433594,24.23360252380371,34.66168212890625,16.57065773010254,24.877065658569336,40.34597396850586,16.495359420776367,24.952211380004883,58.100135803222656,29.88218116760254,19.423358917236328,60.860897064208984,,79.96269226074219,36.51871109008789
6-Sep-18,20.986988067626953,257.9574890136719,50.922183990478516,31.62382698059082,50.34373474121094,25.219200134277344,24.216466903686523,35.029090881347656,16.355932235717773,24.700450897216797,40.750755310058594,16.323299407958984,24.952211380004883,57.870765686035156,29.890913009643555,19.717857360839844,60.694236755371094,,79.80329895019531,36.3372688293457
7-Sep-18,21.29484748840332,257.4561462402344,50.64215087890625,31.496353149414062,50.03470993041992,25.043537139892578,24.122241973876953,35.195472717285156,16.135969161987305,24.498607635498047,40.709449768066406,16.053983688354492,24.72979164123535,57.25324249267578,29.829837799072266,19.898571014404297,60.246856689453125,,79.40486907958984,36.040374755859375
10-Sep-18,21.052486419677734,257.90374755859375,49.77579116821289,30.940902709960938,50.14949035644531,25.219200134277344,24.096542358398438,35.0429573059082,16.062650680541992,24.69204330444336,40.72596740722656,16.16619873046875,24.976919174194336,57.341461181640625,29.978160858154297,19.69777488708496,59.66789627075195,,79.61734771728516,36.36200714111328
11-Sep-18,20.305761337280273,258.75421142578125,49.705787658691406,30.777008056640625,50.25544738769531,25.21156120300293,24.250730514526367,35.47969055175781,16.371646881103516,24.683631896972656,40.86640548706055,16.211084365844727,25.051061630249023,57.694332122802734,30.030508041381836,19.356428146362305,59.86088562011719,,79.90957641601562,36.37850570678711
12-Sep-18,20.469514846801758,258.8168640136719,50.09083557128906,31.24139404296875,50.35256576538086,25.33376121520996,24.36209487915039,35.61833953857422,16.533998489379883,24.76773452758789,41.62640380859375,16.37566375732422,25.24053192138672,57.87959289550781,30.187551498413086,19.72454833984375,60.124046325683594,,80.09549713134766,36.51871109008789
13-Sep-18,20.12234878540039,260.3476257324219,51.37722396850586,31.578304290771484,50.741050720214844,25.41777801513672,24.336393356323242,36.04121398925781,16.76967430114746,25.020036697387695,42.435970306396484,16.37566375732422,25.446474075317383,58.43535614013672,30.38822364807129,19.717857360839844,61.10651779174805,,80.61790466308594,36.782623291015625
14-Sep-18,20.44986343383789,260.3924560546875,50.90467834472656,31.4781436920166,51.31494903564453,25.41777801513672,24.27642822265625,35.5975456237793,16.90060806274414,24.98639678955078,42.1468391418457,16.35321807861328,25.35586166381836,58.77058410644531,30.37949562072754,19.87849235534668,61.04512405395508,,80.6710205078125,36.70014953613281
17-Sep-18,21.045936584472656,259.0137023925781,50.2308464050293,30.831640243530273,51.3414306640625,25.44832420349121,24.36209487915039,35.47276306152344,17.036773681640625,24.9527530670166,42.03943634033203,16.37566375732422,25.405282974243164,57.89723205566406,30.3445987701416,20.186370849609375,60.27317428588867,,80.38768768310547,36.799110412597656
18-Sep-18,21.307945251464844,260.4193115234375,50.79966354370117,30.61310386657715,52.56867980957031,25.562894821166992,24.679039001464844,35.74312973022461,17.34577178955078,25.171417236328125,42.32032012939453,16.55520248413086,25.528852462768555,58.7176513671875,30.37077522277832,20.46748161315918,60.82581329345703,,80.83926391601562,36.98880386352539
19-Sep-18,21.307945251464844,260.69683837890625,51.989803314208984,30.986434936523438,52.75408935546875,25.692733764648438,24.730436325073242,36.60966873168945,17.539548873901367,25.238698959350586,42.3946647644043,16.63001251220703,25.64417839050293,58.7529411315918,30.292247772216797,20.561185836791992,61.66794967651367,,81.14915466308594,37.07126998901367
20-Sep-18,21.596160888671875,262.8093566894531,52.558624267578125,31.296024322509766,52.89535140991211,26.10515594482422,24.85892677307129,37.51780319213867,17.675718307495117,25.701250076293945,42.245975494384766,16.7347469329834,26.13020896911621,59.679229736328125,30.824459075927734,20.775365829467773,62.23811340332031,,81.9106216430664,37.739295959472656
21-Sep-18,22.113628387451172,262.56927490234375,53.0399284362793,30.53115463256836,53.0101318359375,26.08224868774414,24.884626388549805,38.05852127075195,17.743803024291992,25.71807289123535,42.12205505371094,16.6823787689209,26.187875747680664,59.88212203979492,30.763385772705078,20.989543914794922,62.518829345703125,,81.90176391601562,37.75579071044922
24-Sep-18,21.478252410888672,261.6970520019531,52.22608184814453,29.70254135131836,52.771751403808594,26.044052124023438,24.781835556030273,37.6079216003418,18.037090301513672,25.558284759521484,41.717281341552734,16.615047454833984,26.11373519897461,59.520442962646484,30.414396286010742,20.62811851501465,61.79074478149414,,81.57415771484375,37.57435607910156
25-Sep-18,21.700963973999023,261.4542541503906,52.4273567199707,30.094083786010742,53.169063568115234,26.288454055786133,24.679039001464844,37.62178421020508,18.168020248413086,25.64238166809082,41.874229431152344,16.644975662231445,26.171398162841797,59.85565948486328,30.527820587158203,20.755285263061523,62.01005935668945,,81.49447631835938,37.78878402709961
26-Sep-18,22.04157829284668,260.671875,52.7073860168457,30.203346252441406,53.42509841918945,26.288454055786133,24.584808349609375,37.808963775634766,17.906158447265625,25.533056259155273,42.13031768798828,16.62253189086914,26.2373046875,59.91740798950195,30.59761619567871,20.895843505859375,62.05390930175781,,81.5298843383789,37.73105239868164
27-Sep-18,22.500085830688477,261.40032958984375,52.733638763427734,29.875553131103516,53.283836364746094,26.31137466430664,24.644775390625,37.62178421020508,18.40369987487793,25.465770721435547,42.23771286010742,16.54772186279297,26.105497360229492,60.44671630859375,30.449296951293945,21.210416793823242,62.290767669677734,,81.49447631835938,37.623836517333984
28-Sep-18,22.093975067138672,261.4272766113281,52.40985107421875,29.56596565246582,53.177886962890625,26.059329986572266,24.65334129333496,37.191986083984375,18.42988395690918,25.011627197265625,42.32032012939453,16.54772186279297,25.858360290527344,60.22617721557617,30.26607322692871,21.00962257385254,61.93986511230469,,81.28197479248047,37.17024230957031
1-Oct-18,22.080875396728516,262.33551025390625,52.418609619140625,29.520427703857422,53.53988265991211,26.03641700744629,24.94458770751953,37.10186004638672,18.691743850708008,25.14618682861328,42.63422775268555,16.525283813476562,25.83365249633789,59.94388198852539,30.300973892211914,21.110021591186523,61.80830383300781,,81.57415771484375,37.15374755859375
2-Oct-18,23.325424194335938,262.1826171875,51.193458557128906,29.365638732910156,53.416282653808594,25.898942947387695,24.738998413085938,36.37396240234375,18.27276611328125,24.98639678955078,41.989891052246094,16.33077621459961,25.64417839050293,59.00877380371094,30.187551498413086,21.638776779174805,60.74687576293945,,81.219970703125,36.95581817626953
3-Oct-18,24.1704044342041,262.3265380859375,50.9659423828125,28.63718605041504,52.948333740234375,26.005870819091797,24.798967361450195,35.146934509277344,18.408937454223633,25.078907012939453,41.29596710205078,16.23352813720703,25.685367584228516,58.3559684753418,30.222450256347656,22.006898880004883,60.21175765991211,,81.36164855957031,37.09601593017578
4-Oct-18,23.914941787719727,260.276123046875,49.62702178955078,27.726621627807617,52.23317337036133,25.776744842529297,24.584808349609375,34.34279251098633,17.83807373046875,24.7845516204834,40.742496490478516,16.143756866455078,25.31467056274414,56.759220123291016,29.829837799072266,21.73917007446289,58.72929000854492,,80.45853424072266,36.60942459106445
5-Oct-18,24.013195037841797,258.8194274902344,49.55702209472656,27.00727653503418,52.242000579833984,25.60871124267578,24.43918800354004,34.3774528503418,18.037090301513672,24.549074172973633,40.957275390625,16.07642936706543,25.08401107788086,56.78569030761719,29.585548400878906,21.812795639038086,58.343318939208984,,80.13977813720703,36.3537712097168
8-Oct-18,25.631107330322266,258.8194274902344,48.9444465637207,27.453454971313477,52.471561431884766,25.387229919433594,24.353527069091797,34.39131546020508,18.120887756347656,24.2210750579834,40.750755310058594,15.964214324951172,24.86983299255371,56.64453125,29.349979400634766,22.749832153320312,58.06260299682617,,79.79446411132812,36.015625
9-Oct-18,25.925872802734375,258.4417724609375,48.436893463134766,27.089231491088867,52.17136764526367,25.387229919433594,24.310691833496094,34.80032730102539,18.094696044921875,24.195844650268555,40.874664306640625,15.904366493225098,24.84511947631836,56.379886627197266,29.367431640625,22.937238693237305,57.6678581237793,,79.65278625488281,35.97439193725586
10-Oct-18,24.969533920288086,250.25877380371094,46.782955169677734,26.998172760009766,50.89114761352539,25.020620346069336,23.556873321533203,33.3930549621582,17.508127212524414,23.61554718017578,40.19728088378906,15.567729949951172,24.18609619140625,54.71257781982422,28.782875061035156,22.113983154296875,56.05379104614258,,77.59859466552734,35.27338409423828
11-Oct-18,24.56996726989746,244.74636840820312,46.59917449951172,27.09833526611328,49.97291564941406,24.63111114501953,23.239927291870117,33.02565002441406,17.576213836669922,23.413707733154297,40.08162307739258,15.3208589553833,23.988391876220703,53.55691909790039,28.259389877319336,21.966737747192383,55.49237060546875,,76.04023742675781,34.82802963256836
12-Oct-18,25.290498733520508,248.14553833007812,48.191856384277344,27.84499168395996,50.08769226074219,24.684574127197266,23.35985565185547,34.8419303894043,17.921871185302734,23.506216049194336,40.23858642578125,15.403149604797363,24.04605484008789,54.78314971923828,28.35536003112793,22.415176391601562,57.001182556152344,,76.8902587890625,34.894004821777344
15-Oct-18,25.028484344482422,246.7516326904297,47.27299880981445,27.808574676513672,49.937599182128906,24.684574127197266,23.368417739868164,34.5784912109375,17.796175003051758,23.60714340209961,40.53597640991211,15.43307113647461,23.930723190307617,54.18326950073242,28.329185485839844,22.334857940673828,56.238006591796875,,76.43869018554688,34.95173645019531
16-Oct-18,25.84071922302246,252.1470184326172,48.24436950683594,28.573444366455078,50.86465835571289,24.944250106811523,23.72819709777832,36.068939208984375,18.304189682006836,24.0612850189209,41.130760192871094,15.67246150970459,24.39204216003418,55.259525299072266,28.905017852783203,22.937238693237305,57.483638763427734,,77.97932434082031,35.51255416870117
17-Oct-18,26.12892723083496,252.19210815429688,47.658042907714844,27.67198944091797,50.82933807373047,24.776220321655273,23.565444946289062,35.0429573059082,17.99519157409668,23.792163848876953,40.6020622253418,15.635054588317871,24.177858352661133,54.91547775268555,28.599651336669922,22.970701217651367,56.76433181762695,,77.78453063964844,35.174415588378906
18-Oct-18,25.277395248413086,248.5501708984375,46.1878776550293,27.080123901367188,49.91111373901367,24.394346237182617,23.214229583740234,33.87139129638672,17.628585815429688,23.304372787475586,39.25554275512695,15.492914199829102,23.798921585083008,53.45988464355469,28.398983001708984,22.22107696533203,55.49237060546875,,76.6777572631836,34.597103118896484
19-Oct-18,25.51320457458496,248.41522216796875,46.86170959472656,27.198495864868164,50.01706314086914,24.608198165893555,23.291324615478516,34.287330627441406,17.649532318115234,23.413707733154297,39.34640884399414,15.642535209655762,23.864818572998047,54.21855545043945,28.721797943115234,22.3013916015625,56.10641860961914,,76.78401947021484,34.8692626953125
